Function Name,Tcycle,Count,Tcycle_per_Count
gru_cell_free,0,0,
gru_cell_build,0,0,
gru_cell_run,0,0,
gru_cell_s,0,0,
Input,0,0,
Lambda,0,0,
lambda_s,0,0,
lstm_cell_free,0,0,
lstm_cell_q7_q15_build,0,0,
lstm_cell_q7_q15_run,0,0,
lstm_cell_s,0,0,
matrix_build,0,0,
add_run,0,0,
sub_run,0,0,
mult_run,0,0,
_same_shape_matrix_layer,0,0,
Add,0,0,
add_s,0,0,
Sub,0,0,
sub_s,0,0,
Mult,0,0,
mult_s,0,0,
Output,0,0,
reshape_run,0,0,
reshape_build,0,0,
reshape_s,0,0,
rnn_free,0,0,
rnn_build,0,0,
rnn_run,0,0,
rnn_s,0,0,
simple_cell_free,0,0,
simple_cell_build,0,0,
simple_cell_run,0,0,
simple_cell_s,0,0,
sumpool_build,0,0,
sumpool_run,0,0,
SumPool,0,0,
sumpool_s,0,0,
upsample_build,0,0,
upsample_run,0,0,
UpSample,0,0,
upsample_s,0,0,
zero_padding_build,0,0,
zero_padding_run,0,0,
ZeroPadding,0,0,
zeropadding_s,0,0,
my_free,0,1185,0.0
strncmp,0,0,
_fputc,0,0,
_fputs,0,0,
__errno,0,0,
mfcc_free,0,1184,0.0
