Function Name,Start Count,Time Difference,Cycle Difference
sinf,502,151308,75654
sinf,502,144304,72152
sinf,502,137260,68630
sinf,502,130294,65147
sinf,502,123360,61680
sinf,502,116312,58156
sinf,502,109426,54713
sinf,502,102520,51260
sinf,502,95638,47819
sinf,502,88758,44379
sinf,502,81932,40966
sinf,502,74980,37490
sinf,502,68072,34036
sinf,502,61128,30564
sinf,502,54098,27049
sinf,502,47104,23552
sinf,502,40122,20061
sinf,502,33084,16542
sinf,502,26118,13059
sinf,502,19136,9568
sinf,502,12178,6089
sinf,502,5340,2670
sinf,502,5298,2649
sinf,502,5302,2651
sinf,502,5292,2646
sinf,502,5292,2646
sinf,502,5302,2651
sinf,502,5302,2651
sinf,502,5316,2658
sinf,502,5320,2660
sinf,502,5252,2626
sinf,502,5242,2621
sinf,502,5248,2624
sinf,502,5268,2634
sinf,502,5268,2634
sinf,502,5342,2671
sinf,502,5264,2632
sinf,502,5258,2629
sinf,502,5258,2629
sinf,502,5306,2653
sinf,502,5240,2620
sinf,502,5318,2659
sinf,502,5234,2617
sinf,502,5308,2654
sinf,502,5314,2657
sinf,502,5180,2590
sinf,502,5188,2594
sinf,502,5196,2598
sinf,502,5194,2597
sinf,502,5204,2602
sinf,502,5224,2612
sinf,502,5212,2606
sinf,502,5212,2606
sinf,502,5216,2608
sinf,502,5224,2612
sinf,502,5214,2607
sinf,502,5224,2612
sinf,502,5236,2618
sinf,502,5236,2618
sinf,502,5248,2624
sinf,502,5248,2624
sinf,502,4828,2414
sinf,502,4832,2416
sinf,502,4840,2420
sinf,502,4844,2422
sinf,502,4800,2400
sinf,502,4808,2404
sinf,502,4816,2408
sinf,502,4820,2410
sinf,502,4824,2412
sinf,502,4832,2416
sinf,502,4808,2404
sinf,502,4820,2410
sinf,502,4824,2412
sinf,502,4836,2418
sinf,502,4800,2400
sinf,502,4816,2408
sinf,502,4824,2412
sinf,502,4808,2404
sinf,502,4824,2412
sinf,502,4800,2400
sinf,502,4824,2412
sinf,502,4824,2412
sinf,502,4818,2409
sinf,502,4830,2415
sinf,502,5022,2511
sinf,502,4836,2418
sinf,502,4836,2418
sinf,502,4830,2415
sinf,502,4830,2415
sinf,502,4806,2403
sinf,502,4830,2415
sinf,502,4814,2407
sinf,502,4830,2415
sinf,502,4822,2411
sinf,502,4806,2403
sinf,502,4842,2421
sinf,502,4830,2415
sinf,502,4826,2413
sinf,502,4814,2407
sinf,502,4838,2419
sinf,502,4830,2415
sinf,502,4826,2413
sinf,502,4822,2411
sinf,502,4814,2407
sinf,502,4806,2403
sinf,502,4862,2431
sinf,502,4858,2429
sinf,502,4850,2425
sinf,502,4846,2423
sinf,502,5266,2633
sinf,502,5262,2631
sinf,502,5258,2629
sinf,502,5254,2627
sinf,502,5242,2621
sinf,502,5242,2621
sinf,502,5242,2621
sinf,502,5234,2617
sinf,502,5230,2615
sinf,502,5230,2615
sinf,502,5258,2629
sinf,502,5238,2619
sinf,502,5238,2619
sinf,502,5230,2615
sinf,502,5216,2608
sinf,502,5214,2607
sinf,502,5340,2670
sinf,502,5334,2667
sinf,502,5260,2630
sinf,502,5340,2670
sinf,502,5266,2633
sinf,502,5326,2663
sinf,502,5258,2629
sinf,502,5248,2624
sinf,502,5254,2627
sinf,502,5322,2661
sinf,502,5254,2627
sinf,502,5248,2624
sinf,502,5258,2629
sinf,502,5250,2625
sinf,502,5246,2623
sinf,502,5310,2655
sinf,502,5310,2655
sinf,502,5292,2646
sinf,502,5282,2641
sinf,502,5282,2641
sinf,502,5292,2646
sinf,502,5292,2646
sinf,502,5278,2639
sinf,502,5886,2943
sinf,502,5886,2943
sinf,502,5890,2945
sinf,502,5894,2947
sinf,502,5894,2947
sinf,502,5964,2982
sinf,502,5898,2949
sinf,502,5878,2939
sinf,502,5878,2939
sinf,502,5878,2939
sinf,502,5878,2939
sinf,502,5876,2938
sinf,502,5876,2938
sinf,502,5878,2939
sinf,502,5878,2939
sinf,502,5882,2941
sinf,502,5886,2943
sinf,502,5886,2943
sinf,502,5888,2944
sinf,502,5892,2946
sinf,502,5902,2951
sinf,502,5902,2951
sinf,502,5976,2988
sinf,502,5976,2988
sinf,502,5848,2924
sinf,502,5852,2926
sinf,502,5858,2929
sinf,502,5862,2931
sinf,502,5862,2931
sinf,502,5866,2933
sinf,502,5870,2935
sinf,502,5874,2937
sinf,502,5864,2932
sinf,502,5878,2939
sinf,502,5878,2939
sinf,502,5886,2943
sinf,502,5866,2933
sinf,502,5866,2933
sinf,502,5854,2927
sinf,502,5850,2925
sinf,502,5856,2928
sinf,502,5872,2936
sinf,502,5880,2940
sinf,502,5870,2935
sinf,502,5848,2924
sinf,502,5842,2921
sinf,502,5846,2923
sinf,502,5860,2930
sinf,502,5860,2930
sinf,502,5872,2936
sinf,502,5856,2928
sinf,502,5860,2930
sinf,502,5850,2925
sinf,502,5874,2937
sinf,502,5848,2924
sinf,502,5842,2921
sinf,502,5850,2925
sinf,502,5846,2923
sinf,502,5850,2925
sinf,502,5834,2917
sinf,502,5920,2960
sinf,502,5868,2934
sinf,502,5868,2934
sinf,502,5878,2939
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,40,20
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,40,20
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
round,24,56,28
finitef,1,8,4
log10,2,9344,4672
log10,2,11470,5735
pow,28,29680,14840
pow,28,29754,14877
pow,28,29820,14910
pow,28,29730,14865
pow,28,29680,14840
pow,28,29950,14975
pow,28,30252,15126
pow,28,30212,15106
pow,28,30146,15073
pow,28,30140,15070
pow,28,30084,15042
pow,28,30072,15036
pow,28,30084,15042
pow,28,30134,15067
pow,28,30130,15065
pow,28,29792,14896
pow,28,30166,15083
pow,28,30130,15065
pow,28,29846,14923
pow,28,30146,15073
pow,28,30076,15038
pow,28,30108,15054
pow,28,30104,15052
pow,28,30140,15070
pow,28,30112,15056
pow,28,30150,15075
pow,28,30154,15077
pow,28,30178,15089
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,88,44
__kernel_cosf,437,3762,1881
__kernel_cosf,437,3790,1895
__kernel_cosf,437,4198,2099
__kernel_cosf,437,4162,2081
__kernel_cosf,437,4192,2096
__kernel_cosf,437,4152,2076
__kernel_cosf,437,4350,2175
__kernel_cosf,437,4274,2137
__kernel_cosf,437,4294,2147
__kernel_cosf,437,4274,2137
__kernel_cosf,437,4314,2157
__kernel_cosf,437,3902,1951
__kernel_cosf,437,3864,1932
__kernel_cosf,437,3762,1881
__kernel_cosf,437,4174,2087
__kernel_cosf,437,4244,2122
__kernel_cosf,437,4356,2178
__kernel_cosf,437,4290,2145
__kernel_cosf,437,3870,1935
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4284,2142
__kernel_cosf,437,4352,2176
__kernel_cosf,437,4356,2178
__kernel_cosf,437,4290,2145
__kernel_cosf,437,3864,1932
__kernel_cosf,437,3790,1895
__kernel_cosf,437,4192,2096
__kernel_cosf,437,4350,2175
__kernel_cosf,437,4274,2137
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4308,2154
__kernel_cosf,437,4270,2135
__kernel_cosf,437,4284,2142
__kernel_cosf,437,4314,2157
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4268,2134
__kernel_cosf,437,4288,2144
__kernel_cosf,437,3898,1949
__kernel_cosf,437,3762,1881
__kernel_cosf,437,4204,2102
__kernel_cosf,437,4244,2122
__kernel_cosf,437,3862,1931
__kernel_cosf,437,4244,2122
__kernel_cosf,437,4322,2161
__kernel_cosf,437,3870,1935
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4320,2160
__kernel_cosf,437,4234,2117
__kernel_cosf,437,3846,1923
__kernel_cosf,437,4238,2119
__kernel_cosf,437,4322,2161
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4198,2099
__kernel_cosf,437,4274,2137
__kernel_cosf,437,3896,1948
__kernel_cosf,437,4300,2150
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4278,2139
__kernel_cosf,437,4254,2127
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4294,2147
__kernel_cosf,437,4364,2182
__kernel_cosf,437,3888,1944
__kernel_cosf,437,4264,2132
__kernel_cosf,437,4314,2157
__kernel_cosf,437,4174,2087
__kernel_cosf,437,4356,2178
__kernel_cosf,437,3864,1932
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4350,2175
__kernel_cosf,437,4286,2143
__kernel_cosf,437,4280,2140
__kernel_cosf,437,4366,2183
__kernel_cosf,437,3864,1932
__kernel_cosf,437,3870,1935
__kernel_cosf,437,4356,2178
__kernel_cosf,437,4286,2143
__kernel_cosf,437,4162,2081
__kernel_cosf,437,3902,1951
__kernel_cosf,437,4280,2140
__kernel_cosf,437,4364,2182
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4288,2144
__kernel_cosf,437,4308,2154
__kernel_cosf,437,4314,2157
__kernel_cosf,437,4284,2142
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4270,2135
__kernel_cosf,437,3898,1949
__kernel_cosf,437,4270,2135
__kernel_cosf,437,4136,2068
__kernel_cosf,437,4312,2156
__kernel_cosf,437,3864,1932
__kernel_cosf,437,3862,1931
__kernel_cosf,437,3870,1935
__kernel_cosf,437,4312,2156
__kernel_cosf,437,4254,2127
__kernel_cosf,437,4234,2117
__kernel_cosf,437,4310,2155
__kernel_cosf,437,3870,1935
__kernel_cosf,437,3854,1927
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4322,2161
__kernel_cosf,437,4248,2124
__kernel_cosf,437,4192,2096
__kernel_cosf,437,4274,2137
__kernel_cosf,437,4270,2135
__kernel_cosf,437,4314,2157
__kernel_cosf,437,3898,1949
__kernel_cosf,437,3870,1935
__kernel_cosf,437,3870,1935
__kernel_cosf,437,3898,1949
__kernel_cosf,437,4348,2174
__kernel_cosf,437,4294,2147
__kernel_cosf,437,4274,2137
__kernel_cosf,437,4270,2135
__kernel_cosf,437,4288,2144
__kernel_cosf,437,4244,2122
__kernel_cosf,437,3870,1935
__kernel_cosf,437,4284,2142
__kernel_cosf,437,4286,2143
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4360,2180
__kernel_cosf,437,4356,2178
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4280,2140
__kernel_cosf,437,4270,2135
__kernel_cosf,437,3864,1932
__kernel_cosf,437,4366,2183
__kernel_cosf,437,4152,2076
__kernel_cosf,437,3896,1948
__kernel_cosf,437,4314,2157
__kernel_cosf,437,4354,2177
__kernel_cosf,437,4294,2147
