Function Name,Start Address,Return Addresses
avgpool_run         ,10f51c    ,10f5bc
AvgPool             ,10f5d4    ,10f60c
avgpool_s           ,10f610    ,10f69c
default_build       ,10f6ec    ,10f780
default_run         ,10f784    ,"10f7d8, 10f7e0"
BaseLayer           ,10f7e4    ,10f854
baselayer_s         ,10f858    ,10f880
concat_build        ,10f884    ,10f920
concat_run          ,10f9f4    ,10fa84
Concat              ,10fb04    ,10fb88
concat_s            ,10fb8c    ,10fbb8
conv2d_run          ,10fbbc    ,10fccc
conv2d_free         ,10fcd8    ,"10fd10, 10fd18"
conv2d_s            ,10fd1c    ,10fe88
Conv2D              ,10fecc    ,11009c
conv_output_length  ,1100a0    ,1100c4
conv2d_build        ,1100c8    ,11024c
conv2d_trans_build  ,110250    ,1103c8
conv2d_trans_run    ,1103d4    ,1104a0
conv2d_trans_s      ,1104a4    ,1104dc
Conv2DTrans         ,1104e0    ,110528
conv_trans_output_length,11052c    ,110540
cropping_build      ,110544    ,110624
cropping_run        ,110628    ,110694
Cropping            ,110698    ,1106cc
cropping_s          ,1106d0    ,110700
dense_build         ,110704    ,110820
dense_run           ,11085c    ,11091c
dense_free          ,110920    ,"110958, 110960"
dense_s             ,110964    ,110a2c
Dense               ,110a30    ,110ba0
dw_conv2d_build     ,110ba4    ,110d44
dw_conv2d_run       ,110d48    ,110e14
dw_conv2d_s         ,110e18    ,110e50
DW_Conv2D           ,110e54    ,110e9c
flatten_run         ,110ea0    ,110ea4
flatten_build       ,110ea8    ,110f3c
Flatten             ,110f40    ,110fb4
flatten_s           ,110fb8    ,110fe0
global_pool_build   ,110fe4    ,111148
GlobalMaxPool       ,111170    ,1111e8
global_maxpool_s    ,1111ec    ,11121c
GlobalAvgPool       ,111220    ,1112a4
global_avgpool_s    ,1112a8    ,1112d8
GlobalSumPool       ,1112dc    ,111360
global_sumpool_s    ,111364    ,111394
gru_cell_free       ,111398    ,11139c
gru_cell_build      ,1113a0    ,11145c
gru_cell_run        ,111460    ,1116f0
gru_cell_s          ,1116f4    ,11177c
input_build         ,111780    ,1117e8
input_run           ,1117ec    ,111834
input_s             ,111838    ,111984
Input               ,1119a8    ,111aa8
Lambda              ,111aac    ,111b60
lambda_s            ,111b6c    ,111ba4
lstm_cell_free      ,111ba8    ,111bac
lstm_cell_q7_q15_build,111bb0    ,111c60
lstm_cell_q7_q15_run,111c64    ,111ed8
lstm_cell_s         ,111edc    ,111f6c
matrix_build        ,111f70    ,112004
add_run             ,11201c    ,1120d0
sub_run             ,1120f0    ,1121a4
mult_run            ,1121c4    ,112278
_same_shape_matrix_layer,112298    ,1122f8
Add                 ,1122fc    ,112338
add_s               ,11233c    ,112368
Sub                 ,11236c    ,1123a8
sub_s               ,1123ac    ,1123d8
Mult                ,1123dc    ,112418
mult_s              ,11241c    ,112448
maxpool_build       ,11244c    ,11253c
maxpool_run         ,11256c    ,1125f8
MaxPool             ,112608    ,1126fc
maxpool_s           ,11270c    ,112790
output_run          ,1127e0    ,11282c
output_s            ,112830    ,112894
Output              ,112898    ,1128f4
reshape_run         ,1128f8    ,1128fc
reshape_build       ,112900    ,112984
reshape_s           ,112988    ,112a1c
rnn_free            ,112a20    ,112a58
rnn_build           ,112a5c    ,112b90
rnn_run             ,112bc8    ,112cb4
rnn_s               ,112d3c    ,112e04
simple_cell_free    ,112e08    ,112e0c
simple_cell_build   ,112e10    ,"112ebc, 112ec4"
simple_cell_run     ,112ec8    ,112fa0
simple_cell_s       ,112fac    ,113044
softmax_build       ,113048    ,1130cc
softmax_run         ,1130d0    ,113128
Softmax             ,11312c    ,1131a0
softmax_s           ,1131a4    ,1131cc
sumpool_build       ,1131d0    ,11320c
sumpool_run         ,113210    ,1132a8
SumPool             ,1132b8    ,1132f0
sumpool_s           ,1132f4    ,113380
upsample_build      ,1133d0    ,11349c
upsample_run        ,1134a0    ,113500
UpSample            ,113504    ,113590
upsample_s          ,113594    ,1135e0
zero_padding_build  ,1135e4    ,1136c8
zero_padding_run    ,1136cc    ,113738
ZeroPadding         ,11373c    ,1137c8
zeropadding_s       ,1137cc    ,1137fc
merge               ,113800    ,113814
unumprint.isra.0    ,11384c    ,1138ec
my_malloc           ,113948    ,"113968, 113994, 1139d8"
my_free             ,1139dc    ,113a1c
memcpy              ,113a20    ,113a28
memset              ,113a44    ,113a50
